               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^^^^
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    response = self.full_dispatch_request()
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
    rv = self.dispatch_request()
    rv = self.handle_user_exception(e)
    with open(merged_log_file, 'r') as file:
  File "D:\Asu\Senior 1 - Spring\Distributed Computing\Project\Distributed-Image-Processing-System-using-Cloud-Computing\.venv\Lib\site-packages\flask\app.py", line 1473, in wsgi_app
  File "D:\Asu\Senior 1 - Spring\Distributed Computing\Project\Distributed-Image-Processing-System-using-Cloud-Computing\.venv\Lib\site-packages\flask\app.py", line 882, in full_dispatch_request
  File "D:\Asu\Senior 1 - Spring\Distributed Computing\Project\Distributed-Image-Processing-System-using-Cloud-Computing\.venv\Lib\site-packages\flask\app.py", line 880, in full_dispatch_request
  File "D:\Asu\Senior 1 - Spring\Distributed Computing\Project\Distributed-Image-Processing-System-using-Cloud-Computing\.venv\Lib\site-packages\flask\app.py", line 865, in dispatch_request
  File "d:\Asu\Senior 1 - Spring\Distributed Computing\Project\Distributed-Image-Processing-System-using-Cloud-Computing\ui.py", line 59, in index
 * Running on http://127.0.0.1:5000
2024-05-15 23:04:55,691 - INFO - [Master 1]: Start listening on ip:10.0.0.4, port:5090
2024-05-15 23:05:04,605 - INFO - [Master 1]: Health Probe
2024-05-15 23:05:24,611 - INFO - [Master 1]: Health Probe
2024-05-15 23:05:44,616 - INFO - [Master 1]: Health Probe
2024-05-15 23:06:04,621 - INFO - [Master 1]: Health Probe
2024-05-15 23:06:24,630 - INFO - [Master 1]: Health Probe
2024-05-15 23:06:38,032 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60211 
2024-05-15 23:06:38,045 - INFO - [Master 1]: start receiving data
2024-05-15 23:06:44,637 - INFO - [Master 1]: Health Probe
2024-05-15 23:06:45,913 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60209 
2024-05-15 23:06:45,918 - INFO - [Master 1]: start receiving data
2024-05-15 23:06:46,887 - INFO - [Master 1]: returning received array
2024-05-15 23:06:46,891 - INFO - [Master 1]: Received image with operation:Brighten 
2024-05-15 23:06:46,950 - INFO - [ServerMaster]: Start sending
2024-05-15 23:06:46,991 - INFO - [ServerMaster]: Start sending
2024-05-15 23:06:47,030 - INFO - [ServerMaster]: Start sending
2024-05-15 23:06:47,103 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:06:47,104 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:06:47,107 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:06:47,913 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:06:52,487 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:06:52,500 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:06:52,557 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:01,147 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:01,174 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:01,194 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:01,217 - INFO - [Master 1]: sending serialized
2024-05-15 23:07:01,975 - INFO - [Master 1]: start receiving data
2024-05-15 23:07:04,650 - INFO - [Master 1]: Health Probe
2024-05-15 23:07:09,789 - INFO - [Master 1]: returning received array
2024-05-15 23:07:09,789 - INFO - [Master 1]: Received image with operation:Brighten 
2024-05-15 23:07:09,818 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:09,849 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:09,881 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:09,949 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:09,950 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:09,950 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:15,347 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:15,353 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:15,395 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:23,358 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:24,270 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:24,303 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:07:24,324 - INFO - [Master 1]: sending serialized
2024-05-15 23:07:24,399 - ERROR - [Master 1]: OSError
2024-05-15 23:07:24,654 - INFO - [Master 1]: Health Probe
2024-05-15 23:07:25,423 - INFO - [Master 1]: start receiving data
2024-05-15 23:07:26,495 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:07:38,270 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60224 
2024-05-15 23:07:38,280 - INFO - [Master 1]: start receiving data
2024-05-15 23:07:44,660 - INFO - [Master 1]: Health Probe
2024-05-15 23:07:46,743 - INFO - [Master 1]: returning received array
2024-05-15 23:07:46,743 - INFO - [Master 1]: Received image with operation:Darken 
2024-05-15 23:07:46,772 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:46,800 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:46,835 - INFO - [ServerMaster]: Start sending
2024-05-15 23:07:46,889 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:46,889 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:46,889 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:07:52,272 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:52,322 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:07:52,346 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:08:00,574 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:08:01,035 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:08:01,082 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:08:01,104 - INFO - [Master 1]: sending serialized
2024-05-15 23:08:04,670 - INFO - [Master 1]: Health Probe
2024-05-15 23:08:09,525 - INFO - [Master 1]: start receiving data
2024-05-15 23:08:10,640 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:08:24,679 - INFO - [Master 1]: Health Probe
2024-05-15 23:08:44,687 - INFO - [Master 1]: Health Probe
2024-05-15 23:09:04,692 - INFO - [Master 1]: Health Probe
2024-05-15 23:09:24,694 - INFO - [Master 1]: Health Probe
2024-05-15 23:09:44,701 - INFO - [Master 1]: Health Probe
2024-05-15 23:10:04,712 - INFO - [Master 1]: Health Probe
2024-05-15 23:10:13,294 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60252 
2024-05-15 23:10:13,308 - INFO - [Master 1]: start receiving data
2024-05-15 23:10:21,542 - INFO - [Master 1]: returning received array
2024-05-15 23:10:21,542 - INFO - [Master 1]: Received image with operation:Gray 
2024-05-15 23:10:21,572 - INFO - [ServerMaster]: Start sending
2024-05-15 23:10:21,601 - INFO - [ServerMaster]: Start sending
2024-05-15 23:10:21,636 - INFO - [ServerMaster]: Start sending
2024-05-15 23:10:21,707 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:10:21,707 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:10:21,707 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:10:24,717 - INFO - [Master 1]: Health Probe
2024-05-15 23:10:27,097 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:10:27,100 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:10:27,163 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:10:35,423 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:10:35,515 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:10:35,618 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:10:35,632 - INFO - [Master 1]: sending serialized
2024-05-15 23:10:44,713 - INFO - [Master 1]: Health Probe
2024-05-15 23:10:46,353 - INFO - [Master 1]: start receiving data
2024-05-15 23:10:47,411 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:11:04,716 - INFO - [Master 1]: Health Probe
2024-05-15 23:11:24,729 - INFO - [Master 1]: Health Probe
2024-05-15 23:11:44,741 - INFO - [Master 1]: Health Probe
2024-05-15 23:12:04,752 - INFO - [Master 1]: Health Probe
2024-05-15 23:12:24,763 - INFO - [Master 1]: Health Probe
2024-05-15 23:12:44,765 - INFO - [Master 1]: Health Probe
2024-05-15 23:13:04,777 - INFO - [Master 1]: Health Probe
2024-05-15 23:13:24,783 - INFO - [Master 1]: Health Probe
2024-05-15 23:13:44,785 - INFO - [Master 1]: Health Probe
2024-05-15 23:14:04,789 - INFO - [Master 1]: Health Probe
2024-05-15 23:14:24,801 - INFO - [Master 1]: Health Probe
2024-05-15 23:14:44,803 - INFO - [Master 1]: Health Probe
2024-05-15 23:15:04,810 - INFO - [Master 1]: Health Probe
2024-05-15 23:15:24,821 - INFO - [Master 1]: Health Probe
2024-05-15 23:15:44,828 - INFO - [Master 1]: Health Probe
2024-05-15 23:16:04,838 - INFO - [Master 1]: Health Probe
2024-05-15 23:16:24,839 - INFO - [Master 1]: Health Probe
2024-05-15 23:16:44,842 - INFO - [Master 1]: Health Probe
2024-05-15 23:17:04,852 - INFO - [Master 1]: Health Probe
2024-05-15 23:17:24,856 - INFO - [Master 1]: Health Probe
2024-05-15 23:17:44,861 - INFO - [Master 1]: Health Probe
2024-05-15 23:18:04,863 - INFO - [Master 1]: Health Probe
2024-05-15 23:18:24,874 - INFO - [Master 1]: Health Probe
2024-05-15 23:18:44,879 - INFO - [Master 1]: Health Probe
2024-05-15 23:19:04,885 - INFO - [Master 1]: Health Probe
2024-05-15 23:19:24,895 - INFO - [Master 1]: Health Probe
2024-05-15 23:19:44,906 - INFO - [Master 1]: Health Probe
2024-05-15 23:20:04,906 - INFO - [Master 1]: Health Probe
2024-05-15 23:20:24,906 - INFO - [Master 1]: Health Probe
2024-05-15 23:20:44,907 - INFO - [Master 1]: Health Probe
2024-05-15 23:21:04,917 - INFO - [Master 1]: Health Probe
2024-05-15 23:21:24,917 - INFO - [Master 1]: Health Probe
2024-05-15 23:21:44,923 - INFO - [Master 1]: Health Probe
2024-05-15 23:22:04,934 - INFO - [Master 1]: Health Probe
2024-05-15 23:22:24,946 - INFO - [Master 1]: Health Probe
2024-05-15 23:22:44,951 - INFO - [Master 1]: Health Probe
2024-05-15 23:23:04,957 - INFO - [Master 1]: Health Probe
2024-05-15 23:23:24,962 - INFO - [Master 1]: Health Probe
2024-05-15 23:23:44,972 - INFO - [Master 1]: Health Probe
2024-05-15 23:24:04,974 - INFO - [Master 1]: Health Probe
2024-05-15 23:24:24,978 - INFO - [Master 1]: Health Probe
2024-05-15 23:24:44,983 - INFO - [Master 1]: Health Probe
2024-05-15 23:25:04,987 - INFO - [Master 1]: Health Probe
2024-05-15 23:25:25,000 - INFO - [Master 1]: Health Probe
2024-05-15 23:25:45,016 - INFO - [Master 1]: Health Probe
2024-05-15 23:26:05,028 - INFO - [Master 1]: Health Probe
2024-05-15 23:26:25,032 - INFO - [Master 1]: Health Probe
2024-05-15 23:26:45,043 - INFO - [Master 1]: Health Probe
2024-05-15 23:27:05,052 - INFO - [Master 1]: Health Probe
2024-05-15 23:27:23,771 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60350 
2024-05-15 23:27:23,783 - INFO - [Master 1]: start receiving data
2024-05-15 23:27:25,054 - INFO - [Master 1]: Health Probe
2024-05-15 23:27:32,788 - INFO - [Master 1]: returning received array
2024-05-15 23:27:32,788 - INFO - [Master 1]: Received image with operation:Brighten 
2024-05-15 23:27:32,847 - INFO - [ServerMaster]: Start sending
2024-05-15 23:27:32,881 - INFO - [ServerMaster]: Start sending
2024-05-15 23:27:32,919 - INFO - [ServerMaster]: Start sending
2024-05-15 23:27:32,991 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:27:32,995 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:27:32,995 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:27:38,360 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:27:38,403 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:27:38,433 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:27:45,073 - INFO - [Master 1]: Health Probe
2024-05-15 23:27:46,490 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:27:46,698 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:27:46,758 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:27:46,775 - INFO - [Master 1]: sending serialized
2024-05-15 23:27:53,328 - INFO - [Master 1]: start receiving data
2024-05-15 23:27:54,387 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:28:05,078 - INFO - [Master 1]: Health Probe
2024-05-15 23:28:25,083 - INFO - [Master 1]: Health Probe
2024-05-15 23:28:45,089 - INFO - [Master 1]: Health Probe
2024-05-15 23:29:05,101 - INFO - [Master 1]: Health Probe
2024-05-15 23:29:25,114 - INFO - [Master 1]: Health Probe
2024-05-15 23:29:45,129 - INFO - [Master 1]: Health Probe
2024-05-15 23:29:58,159 - INFO - [Master 1]: Starting Thread with:41.238.94.188 : 60379 
2024-05-15 23:29:58,197 - INFO - [Master 1]: start receiving data
2024-05-15 23:30:05,130 - INFO - [Master 1]: Health Probe
2024-05-15 23:30:06,979 - INFO - [Master 1]: returning received array
2024-05-15 23:30:06,980 - INFO - [Master 1]: Received image with operation:Gray 
2024-05-15 23:30:07,010 - INFO - [ServerMaster]: Start sending
2024-05-15 23:30:07,040 - INFO - [ServerMaster]: Start sending
2024-05-15 23:30:07,078 - INFO - [ServerMaster]: Start sending
2024-05-15 23:30:07,145 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:30:07,145 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:30:07,146 - INFO - [ServerMaster]: Start receive process
2024-05-15 23:30:12,520 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:30:12,560 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:30:12,607 - INFO - [ServerMaster]: Start receiving data
2024-05-15 23:30:20,807 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:30:20,898 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:30:21,055 - INFO - [ServerMaster]: Returning received array
2024-05-15 23:30:21,073 - INFO - [Master 1]: sending serialized
2024-05-15 23:30:25,136 - INFO - [Master 1]: Health Probe
2024-05-15 23:30:28,300 - INFO - [Master 1]: start receiving data
2024-05-15 23:30:29,444 - ERROR - [Master 1]: Exception: %s
2024-05-15 23:30:45,148 - INFO - [Master 1]: Health Probe
